type,省治愈,省治愈,省死亡,name,新增确诊,新增治愈,新增死亡,value,治愈,死亡,date
山东省,15,0,0,潍坊,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
山东省,15,0,0,日照,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
山东省,15,0,0,济南,2.0,0.0,0.0,2.0,0.0,0.0,2020-01-23
山东省,15,0,0,烟台,2.0,0.0,0.0,2.0,0.0,0.0,2020-01-23
山东省,15,0,0,济宁,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
云南省,2,0,0,昆明,2.0,0.0,0.0,2.0,0.0,0.0,2020-01-23
海南省,8,0,0,海口,3.0,0.0,0.0,3.0,0.0,0.0,2020-01-23
海南省,8,0,0,临高县,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
海南省,8,0,0,三亚,2.0,0.0,0.0,2.0,0.0,0.0,2020-01-23
海南省,8,0,0,万宁,2.0,0.0,0.0,2.0,0.0,0.0,2020-01-23
内蒙古自治区,2,0,0,满洲里,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
宁夏回族自治区,2,0,0,银川,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
宁夏回族自治区,2,0,0,中卫,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
甘肃省,2,0,0,兰州,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
甘肃省,2,0,0,白银,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
重庆市,27,0,0,万州区,3.0,0.0,0.0,3.0,0.0,0.0,2020-01-23
重庆市,27,0,0,巫山县,3.0,0.0,0.0,3.0,0.0,0.0,2020-01-23
重庆市,27,0,0,长寿区,3.0,0.0,0.0,3.0,0.0,0.0,2020-01-23
重庆市,27,0,0,九龙坡区,2.0,0.0,0.0,2.0,0.0,0.0,2020-01-23
重庆市,27,0,0,垫江县,2.0,0.0,0.0,2.0,0.0,0.0,2020-01-23
重庆市,27,0,0,渝北区,2.0,0.0,0.0,2.0,0.0,0.0,2020-01-23
重庆市,27,0,0,永川区,2.0,0.0,0.0,2.0,0.0,0.0,2020-01-23
重庆市,27,0,0,涪陵区,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
重庆市,27,0,0,开州区,2.0,0.0,0.0,2.0,0.0,0.0,2020-01-23
重庆市,27,0,0,忠县,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
重庆市,27,0,0,大渡口区,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
重庆市,27,0,0,云阳县,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
重庆市,27,0,0,奉节县,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
重庆市,27,0,0,巫溪县,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
重庆市,27,0,0,秀山县,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
重庆市,27,0,0,两江新区,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
江苏省,9,0,0,苏州,2.0,0.0,0.0,2.0,0.0,0.0,2020-01-23
江苏省,9,0,0,南京,3.0,0.0,0.0,3.0,0.0,0.0,2020-01-23
江苏省,9,0,0,连云港,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
江苏省,9,0,0,扬州,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
